id,user_id,name,portfolio_type,description,base_currency,monthly_budget,target_weight,created_at
1,1,Dividend Portfolio,dividend,,KRW,1000000,50,
2,1,General Portfolio,general,,KRW,1000000,50,
3,2,일반 포트폴리오,general,,KRW,,,
4,2,배당 포트,dividend,,KRW,1300000,,
